,Bundle Name,Pdf file,XML file
104,255_final-PIELSTR_M_Steffen_Ein_GUI_Topic_Modeling_Tool_mit_interaktiv,255_final-PIELSTR_M_Steffen_Ein_GUI_Topic_Modeling_Tool_mit_interaktiv.pdf,255_final-PIELSTR_M_Steffen_Ein_GUI_Topic_Modeling_Tool_mit_interaktiv.xml
105,256_final-BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis,256_final-BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.pdf,256_final-BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml
106,257_final-G_TZELMANN_Germaine_Wie_sich_die_Bilder_gleichen__Bild_hnlic,257_final-G_TZELMANN_Germaine_Wie_sich_die_Bilder_gleichen__Bild_hnlic.pdf,257_final-G_TZELMANN_Germaine_Wie_sich_die_Bilder_gleichen__Bild_hnlic.xml
107,258_final-WAGNER_Andreas_Multimodale_Versuche_der_Alignierung_historis,258_final-WAGNER_Andreas_Multimodale_Versuche_der_Alignierung_historis.pdf,258_final-WAGNER_Andreas_Multimodale_Versuche_der_Alignierung_historis.xml
108,259_final-T_RKOGLU_Enes_Vom_Digitalisat_zum_Kontextualisat___einige_Ge,259_final-T_RKOGLU_Enes_Vom_Digitalisat_zum_Kontextualisat___einige_Ge.pdf,259_final-T_RKOGLU_Enes_Vom_Digitalisat_zum_Kontextualisat___einige_Ge.xml
109,260_final-VITT_Thorsten_Intervalle__Konflikte__Zyklen__Modellierung_vo,260_final-VITT_Thorsten_Intervalle__Konflikte__Zyklen__Modellierung_vo.pdf,260_final-VITT_Thorsten_Intervalle__Konflikte__Zyklen__Modellierung_vo.xml
110,262_final-FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En,262_final-FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.pdf,262_final-FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml
111,264_final-NASAREK_Robert_Texterkennung_mit_Ocropy___Vom_Bild_zum_Text,264_final-NASAREK_Robert_Texterkennung_mit_Ocropy___Vom_Bild_zum_Text.pdf,264_final-NASAREK_Robert_Texterkennung_mit_Ocropy___Vom_Bild_zum_Text.xml
112,265_final-HERRMANN_Elisa_Vom_gedruckten_Werk_zu_elektronischem_Volltex,265_final-HERRMANN_Elisa_Vom_gedruckten_Werk_zu_elektronischem_Volltex.pdf,265_final-HERRMANN_Elisa_Vom_gedruckten_Werk_zu_elektronischem_Volltex.xml
113,266_final-JAROSCH_Julian_Graphentechnologien_in_den_Digital_Humanities,266_final-JAROSCH_Julian_Graphentechnologien_in_den_Digital_Humanities.pdf,266_final-JAROSCH_Julian_Graphentechnologien_in_den_Digital_Humanities.xml
114,267_final-BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset,267_final-BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.pdf,267_final-BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml
115,269_final-VOGELER_Georg_Von_IIIF_zu_IPIF__Ein_Vorschlag_f_r_den_Datena,269_final-VOGELER_Georg_Von_IIIF_zu_IPIF__Ein_Vorschlag_f_r_den_Datena.pdf,269_final-VOGELER_Georg_Von_IIIF_zu_IPIF__Ein_Vorschlag_f_r_den_Datena.xml
116,270_final-OVER_Berthold_Multimodale_Anreicherung_von_Noteneditionen__E,270_final-OVER_Berthold_Multimodale_Anreicherung_von_Noteneditionen__E.pdf,270_final-OVER_Berthold_Multimodale_Anreicherung_von_Noteneditionen__E.xml
117,271_final-STAECKER_Thomas__Eine_digitale_Edition_kann_man_nicht_sehen_,271_final-STAECKER_Thomas__Eine_digitale_Edition_kann_man_nicht_sehen_.pdf,271_final-STAECKER_Thomas__Eine_digitale_Edition_kann_man_nicht_sehen_.xml
118,273_final-KISSINGER_Timo_Nomisma_org__Numismatik_und_das_Semantic_Web,273_final-KISSINGER_Timo_Nomisma_org__Numismatik_und_das_Semantic_Web.pdf,273_final-KISSINGER_Timo_Nomisma_org__Numismatik_und_das_Semantic_Web.xml
119,275_final-SCHUMACHER_Mareike_Social_Media__YouTube_und_Co__Multimedial,275_final-SCHUMACHER_Mareike_Social_Media__YouTube_und_Co__Multimedial.pdf,275_final-SCHUMACHER_Mareike_Social_Media__YouTube_und_Co__Multimedial.xml
120,276_final-PROISL_Thomas_Dependenzbasierte_syntaktische_Komplexit_tsma_,276_final-PROISL_Thomas_Dependenzbasierte_syntaktische_Komplexit_tsma_.pdf,276_final-PROISL_Thomas_Dependenzbasierte_syntaktische_Komplexit_tsma_.xml
121,278_final-HANNESSCHLAEGER_Vanessa_Forschung__ffnen__M_glichkeiten__Pot,278_final-HANNESSCHLAEGER_Vanessa_Forschung__ffnen__M_glichkeiten__Pot.pdf,278_final-HANNESSCHLAEGER_Vanessa_Forschung__ffnen__M_glichkeiten__Pot.xml
122,279_final-WEICHSELBAUMER_Nikolaus_Automatic_Font_Group_Recognition_in_,279_final-WEICHSELBAUMER_Nikolaus_Automatic_Font_Group_Recognition_in_.pdf,279_final-WEICHSELBAUMER_Nikolaus_Automatic_Font_Group_Recognition_in_.xml
123,281_final-HEDELAND_Hanna_Annotation_gesprochener_Daten_mit_WebAnno_MM,281_final-HEDELAND_Hanna_Annotation_gesprochener_Daten_mit_WebAnno_MM.pdf,281_final-HEDELAND_Hanna_Annotation_gesprochener_Daten_mit_WebAnno_MM.xml
124,282_final-MUKHAMETOV_Sergey_Interaktion_im__ffentlichen_Raum__Von_der_,282_final-MUKHAMETOV_Sergey_Interaktion_im__ffentlichen_Raum__Von_der_.pdf,282_final-MUKHAMETOV_Sergey_Interaktion_im__ffentlichen_Raum__Von_der_.xml
125,283_final-GERHARDS_Donata_Gutenberg_Biographics___der_Mainzer_Professo,283_final-GERHARDS_Donata_Gutenberg_Biographics___der_Mainzer_Professo.pdf,283_final-GERHARDS_Donata_Gutenberg_Biographics___der_Mainzer_Professo.xml
126,284_final-FRICKE_STEYER_Henrike_Digitales_Publizieren_im_Spiegel_der_Z,284_final-FRICKE_STEYER_Henrike_Digitales_Publizieren_im_Spiegel_der_Z.pdf,284_final-FRICKE_STEYER_Henrike_Digitales_Publizieren_im_Spiegel_der_Z.xml
127,286_final-HELLING_Patrick_Wie_es_Euch_gef_llt__Perspektiven_wissenscha,286_final-HELLING_Patrick_Wie_es_Euch_gef_llt__Perspektiven_wissenscha.pdf,286_final-HELLING_Patrick_Wie_es_Euch_gef_llt__Perspektiven_wissenscha.xml
128,288_final-SCHL_GL_Matthias_HistoGIS__Vom_Punkt_zur_Fl_che_in_Raum_und_,288_final-SCHL_GL_Matthias_HistoGIS__Vom_Punkt_zur_Fl_che_in_Raum_und_.pdf,288_final-SCHL_GL_Matthias_HistoGIS__Vom_Punkt_zur_Fl_che_in_Raum_und_.xml
129,289_final-SCHOLGER_Martina_Das_Notizbuch_als_Ideenspeicher_und_Forschu,289_final-SCHOLGER_Martina_Das_Notizbuch_als_Ideenspeicher_und_Forschu.pdf,289_final-SCHOLGER_Martina_Das_Notizbuch_als_Ideenspeicher_und_Forschu.xml
130,290_final-SCH_LLER_Daniel_Multimediale_Modelle_multimodaler_Kommunikat,290_final-SCH_LLER_Daniel_Multimediale_Modelle_multimodaler_Kommunikat.pdf,290_final-SCH_LLER_Daniel_Multimediale_Modelle_multimodaler_Kommunikat.xml
131,291_final-UHRIG_Peter_Eine_Infrastruktur_zur_Erforschung_multimodaler_,291_final-UHRIG_Peter_Eine_Infrastruktur_zur_Erforschung_multimodaler_.pdf,291_final-UHRIG_Peter_Eine_Infrastruktur_zur_Erforschung_multimodaler_.xml
132,292_final-KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas,292_final-KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.pdf,292_final-KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml
133,293_final-MOISICH_Oliver_Multimedia_Markup_Editor__M3___Semi_Automatis,293_final-MOISICH_Oliver_Multimedia_Markup_Editor__M3___Semi_Automatis.pdf,293_final-MOISICH_Oliver_Multimedia_Markup_Editor__M3___Semi_Automatis.xml
134,294_final-MAYR_Eva_Visualisierung_zwischen_Pluralismus_und_Fragmentier,294_final-MAYR_Eva_Visualisierung_zwischen_Pluralismus_und_Fragmentier.pdf,294_final-MAYR_Eva_Visualisierung_zwischen_Pluralismus_und_Fragmentier.xml
135,DIESNER_Understanding_Social_Structure_and_Behavior,DIESNER_Understanding_Social_Structure_and_Behavior.pdf,DIESNER_Understanding_Social_Structure_and_Behavior.xml
136,FLUECKIGER_Keynote,FLUECKIGER_Keynote.pdf,FLUECKIGER_Keynote.xml
